Dispatching_base_num,Pickup_date,locationID
B02345,2015-07-21 13:30:00,
B01644,2015-07-21 17:15:00,
B02510,2015-07-24 13:44:26,163.0
B02512,2015-07-02 15:09:42,233.0
B02835,2015-07-29 11:22:07,237.0
B02682,2015-07-20 13:30:55,143.0
B02617,2015-07-13 09:43:51,37.0
B02764,2015-07-29 23:40:11,37.0
B02764,2015-07-26 11:18:14,249.0
B02800,2015-07-13 20:27:00,162.0
B02682,2015-07-22 15:28:40,181.0
B02764,2015-07-16 09:36:10,50.0
B02764,2015-07-16 19:22:40,231.0
B02682,2015-07-14 11:26:57,237.0
B02510,2015-07-31 07:45:00,107.0
B02598,2015-07-08 16:59:55,114.0
B02617,2015-07-31 18:48:07,144.0
B02682,2015-07-25 21:03:23,54.0
B02682,2015-07-21 21:59:16,37.0
B02682,2015-07-05 21:59:30,113.0
B02682,2015-07-08 18:11:16,68.0
B02765,2015-07-23 00:48:00,13.0
B00375,2015-07-23 07:14:00,
B02765,2015-07-22 22:07:00,161.0
B02764,2015-07-04 23:30:21,261.0
B02617,2015-07-08 00:17:23,90.0
B02800,2015-07-07 11:01:00,143.0
B02800,2015-07-21 15:49:00,161.0
B02764,2015-07-08 16:12:22,233.0
B02764,2015-07-24 18:47:22,148.0
B02835,2015-07-18 15:33:24,97.0
B02764,2015-07-10 14:12:53,181.0
B02617,2015-07-25 05:44:22,95.0
B02835,2015-07-27 04:08:28,68.0
B02764,2015-07-09 17:23:01,238.0
B01871,2015-07-15 15:10:00,
B02682,2015-07-09 00:51:53,261.0
B02598,2015-07-15 13:36:42,234.0
B02682,2015-07-25 23:24:10,197.0
B02764,2015-07-17 23:39:44,61.0
B00975,2015-07-02 10:31:00,71.0
B02682,2015-07-24 22:43:44,161.0
B02764,2015-07-01 16:10:08,236.0
B01467,2015-07-09 10:18:00,
B02765,2015-07-18 23:36:48,249.0
B02835,2015-07-02 00:53:28,164.0
B02617,2015-07-02 14:52:04,48.0
B02682,2015-07-12 12:32:47,17.0
B02682,2015-07-22 17:37:03,238.0
B02764,2015-07-22 19:38:40,239.0
B02682,2015-07-14 20:00:42,237.0
B02682,2015-07-22 08:23:32,79.0
B02765,2015-07-26 22:52:22,132.0
B02764,2015-07-18 19:14:17,112.0
B00412,2015-07-20 15:00:00,
B02682,2015-07-12 18:43:04,9.0
B02682,2015-07-29 11:52:21,97.0
B02764,2015-07-15 17:56:04,186.0
B02764,2015-07-02 22:55:21,234.0
B02510,2015-07-30 07:47:54,229.0
B00628,2015-07-10 09:55:00,
B02682,2015-07-08 16:18:26,162.0
B02682,2015-07-14 08:06:54,113.0
B02682,2015-07-24 11:24:34,186.0
B02682,2015-07-29 21:40:31,42.0
B02800,2015-07-28 19:00:00,237.0
B02682,2015-07-24 03:08:20,45.0
B01509,2015-07-29 14:19:00,
B00375,2015-07-26 02:19:00,
B02617,2015-07-15 08:16:49,246.0
B02765,2015-07-26 10:53:54,132.0
B02764,2015-07-16 10:55:09,164.0
B01391,2015-07-17 03:52:00,
B01467,2015-07-19 16:32:00,
B02510,2015-07-30 19:32:03,13.0
B02765,2015-07-08 18:01:40,100.0
B02764,2015-07-26 03:02:22,79.0
B02682,2015-07-06 11:30:54,25.0
B02682,2015-07-19 14:04:18,116.0
B02682,2015-07-13 00:09:44,263.0
B02617,2015-07-31 10:32:50,164.0
B02682,2015-07-23 20:05:17,234.0
B02800,2015-07-01 08:45:00,140.0
B02682,2015-07-23 16:16:50,170.0
B02598,2015-07-28 16:59:35,116.0
B02682,2015-07-29 09:35:09,162.0
B02510,2015-07-04 21:25:42,37.0
B00756,2015-07-22 11:11:00,
B02617,2015-07-13 09:09:56,170.0
B02682,2015-07-12 01:18:03,224.0
B02800,2015-07-17 11:15:00,141.0
B02320,2015-07-27 07:00:00,
B00477,2015-07-06 23:48:00,
B02800,2015-07-16 17:13:00,140.0
B02510,2015-07-19 01:28:18,61.0
B02764,2015-07-30 16:44:43,230.0
B02800,2015-07-07 12:20:00,107.0
B02437,2015-07-11 09:07:00,
B02835,2015-07-26 00:00:25,197.0
B02764,2015-07-17 14:56:34,51.0
B02764,2015-07-13 04:48:57,148.0
B02682,2015-07-02 13:10:12,132.0
B02764,2015-07-01 21:51:57,13.0
B01875,2015-07-09 22:46:00,
B02682,2015-07-29 10:07:38,142.0
B02764,2015-07-04 19:43:05,186.0
B00628,2015-07-27 10:09:00,
B02682,2015-07-24 23:24:11,231.0
B02764,2015-07-23 18:12:30,163.0
B02682,2015-07-11 13:15:08,148.0
B02835,2015-07-07 17:45:22,158.0
B02510,2015-07-22 01:09:13,79.0
B02764,2015-07-01 16:37:04,161.0
B02764,2015-07-25 13:21:09,236.0
B02764,2015-07-24 07:17:00,249.0
B02764,2015-07-20 20:09:02,141.0
B00375,2015-07-30 06:29:00,
B02682,2015-07-07 10:26:57,132.0
B00013,2015-07-28 21:42:00,
B02682,2015-07-04 21:03:37,170.0
B02617,2015-07-07 15:01:44,239.0
B01984,2015-07-29 13:00:00,
B02682,2015-07-20 04:29:28,181.0
B02598,2015-07-23 23:54:03,130.0
B02330,2015-07-06 03:06:48,
B02764,2015-07-09 21:42:41,161.0
B02682,2015-07-16 18:26:42,88.0
B02510,2015-07-19 19:33:04,148.0
B02617,2015-07-30 12:05:08,114.0
B02617,2015-07-25 16:48:24,231.0
B02765,2015-07-25 23:34:00,87.0
B00412,2015-07-11 08:30:00,
B02765,2015-07-30 11:05:03,236.0
B02682,2015-07-29 20:22:51,158.0
B02617,2015-07-25 21:31:48,68.0
B02682,2015-07-25 08:18:14,181.0
B02682,2015-07-16 23:31:41,140.0
B02682,2015-07-28 10:10:41,17.0
B01509,2015-07-03 17:01:00,
B02800,2015-07-17 07:37:00,237.0
B02598,2015-07-29 22:14:38,230.0
B02512,2015-07-16 08:50:37,253.0
B02617,2015-07-10 23:17:44,170.0
B02617,2015-07-22 10:06:44,90.0
B00446,2015-07-14 09:55:00,
B02682,2015-07-13 08:06:45,256.0
B02765,2015-07-16 19:22:33,152.0
B01899,2015-07-07 05:28:00,
B02510,2015-07-29 02:35:30,188.0
B02682,2015-07-29 11:11:07,79.0
B02800,2015-07-23 10:43:00,262.0
B02835,2015-07-01 07:46:20,236.0
B02800,2015-07-02 06:56:00,48.0
B02682,2015-07-22 18:40:38,249.0
B02835,2015-07-17 19:50:37,230.0
B01995,2015-07-02 08:56:00,56.0
B02512,2015-07-14 19:57:38,142.0
B02764,2015-07-12 04:13:01,162.0
B02800,2015-07-24 11:44:00,239.0
B02716,2015-07-22 16:30:00,
B02764,2015-07-06 00:10:16,112.0
B02765,2015-07-09 13:25:32,50.0
B02617,2015-07-28 21:19:59,125.0
B02764,2015-07-18 17:19:07,61.0
B02682,2015-07-27 09:34:15,127.0
B02617,2015-07-23 15:53:49,68.0
B02067,2015-07-23 20:11:00,
B00789,2015-07-23 20:45:00,
B00411,2015-07-27 19:30:00,
B02764,2015-07-15 19:30:51,113.0
B02764,2015-07-17 02:14:13,48.0
B02764,2015-07-20 05:31:41,164.0
B02617,2015-07-22 01:50:05,48.0
B02765,2015-07-01 18:20:54,76.0
B00248,2015-07-13 02:52:00,
B02590,2015-07-01 11:45:00,
B02682,2015-07-25 13:16:07,138.0
B00375,2015-07-10 14:00:00,
B01985,2015-07-01 16:40:00,
B02617,2015-07-26 09:41:32,116.0
B02764,2015-07-25 20:20:50,237.0
B02510,2015-07-20 17:02:57,162.0
B00375,2015-07-19 19:00:00,
B02510,2015-07-07 17:51:11,179.0
B02682,2015-07-12 08:08:21,61.0
B01339,2015-07-09 22:55:00,265.0
B01308,2015-07-08 19:49:00,
B02682,2015-07-21 21:22:19,13.0
B02835,2015-07-06 15:00:59,68.0
B02682,2015-07-04 18:07:34,132.0
B01667,2015-07-22 19:03:00,
B02682,2015-07-17 08:52:05,148.0
B02345,2015-07-01 06:00:00,
B02835,2015-07-09 23:13:18,40.0
B02835,2015-07-29 00:17:35,130.0
B02764,2015-07-25 19:01:19,101.0
B02682,2015-07-03 15:36:33,181.0
B02682,2015-07-26 18:59:29,231.0
B02682,2015-07-18 22:43:53,79.0
B02764,2015-07-20 22:34:48,170.0
